#,date_time,air_temp,RH,dew_pt,logger_ID,site,location
4,05/19/2023 15:07:10,17.84,52.21,7.93,21333842,YES,EXT
5,05/19/2023 15:37:10,18.15,53.2,8.49,21333842,YES,EXT
6,05/19/2023 16:07:10,17.06,54.97,7.96,21333842,YES,EXT
7,05/19/2023 16:37:10,16.3,60.38,8.63,21333842,YES,EXT
8,05/19/2023 17:07:10,15.24,65.34,8.79,21333842,YES,EXT
9,05/19/2023 17:37:10,14.5,64.69,7.94,21333842,YES,EXT
10,05/19/2023 18:07:10,13.96,69.51,8.49,21333842,YES,EXT
11,05/19/2023 18:37:10,13.47,71.72,8.48,21333842,YES,EXT
12,05/19/2023 19:07:10,12.82,76.17,8.75,21333842,YES,EXT
13,05/19/2023 19:37:10,12.6,76.25,8.54,21333842,YES,EXT
14,05/19/2023 20:07:10,12.13,75.95,8.03,21333842,YES,EXT
15,05/19/2023 20:37:10,11.82,79.2,8.34,21333842,YES,EXT
16,05/19/2023 21:07:10,11.68,78.77,8.13,21333842,YES,EXT
17,05/19/2023 21:37:10,10.39,82.32,7.52,21333842,YES,EXT
18,05/19/2023 22:07:10,9.7,85.09,7.33,21333842,YES,EXT
19,05/19/2023 22:37:10,9.9,82.59,7.08,21333842,YES,EXT
20,05/19/2023 23:07:10,9.8,85.91,7.57,21333842,YES,EXT
21,05/19/2023 23:37:10,9.41,83.62,6.79,21333842,YES,EXT
22,05/20/2023 00:07:10,9.21,87.36,7.23,21333842,YES,EXT
23,05/20/2023 00:37:10,8.9,85.25,6.57,21333842,YES,EXT
24,05/20/2023 01:07:10,8.46,89.67,6.87,21333842,YES,EXT
25,05/20/2023 01:37:10,8.13,87.27,6.15,21333842,YES,EXT
26,05/20/2023 02:07:10,8.65,88.15,6.81,21333842,YES,EXT
27,05/20/2023 02:37:10,8.12,83.14,5.44,21333842,YES,EXT
28,05/20/2023 03:07:10,7.45,86.57,5.37,21333842,YES,EXT
29,05/20/2023 03:37:10,7.33,88.07,5.5,21333842,YES,EXT
30,05/20/2023 04:07:10,6.6,87.64,4.71,21333842,YES,EXT
31,05/20/2023 04:37:10,6.39,87.05,4.4,21333842,YES,EXT
32,05/20/2023 05:07:10,6.45,86.96,4.45,21333842,YES,EXT
33,05/20/2023 05:37:10,6.23,85.51,3.99,21333842,YES,EXT
34,05/20/2023 06:07:10,6.39,87.56,4.48,21333842,YES,EXT
35,05/20/2023 06:37:10,6.26,86.95,4.25,21333842,YES,EXT
36,05/20/2023 07:07:10,6.21,87.52,4.3,21333842,YES,EXT
37,05/20/2023 07:37:10,6.43,86.74,4.39,21333842,YES,EXT
38,05/20/2023 08:07:10,7.57,85.35,5.28,21333842,YES,EXT
39,05/20/2023 08:37:10,8.17,87.77,6.27,21333842,YES,EXT
40,05/20/2023 09:07:10,10.21,82.29,7.33,21333842,YES,EXT
41,05/20/2023 09:37:10,12.05,76.51,8.06,21333842,YES,EXT
42,05/20/2023 10:07:10,13.76,70.36,8.47,21333842,YES,EXT
43,05/20/2023 10:37:10,15.4,61.76,8.11,21333842,YES,EXT
44,05/20/2023 11:07:10,16.86,53.88,7.48,21333842,YES,EXT
